Source,CH1
Second,Volt
-0.00000724500,0.00
-0.00000724000,0.00
-0.00000723500,-0.80000
-0.00000723000,-0.80000
-0.00000722500,-0.80000
-0.00000722000,0.00
-0.00000721500,-0.80000
-0.00000721000,-0.80000
-0.00000720500,0.00
-0.00000720000,0.00
-0.00000719500,-0.80000
-0.00000719000,0.80000
-0.00000718500,0.00
-0.00000718000,-0.80000
-0.00000717500,-0.80000
-0.00000717000,0.00
-0.00000716500,-0.80000
-0.00000716000,-0.80000
-0.00000715500,-0.80000
-0.00000715000,0.80000
-0.00000714500,-0.80000
-0.00000714000,-2.40000
-0.00000713500,-2.40000
-0.00000713000,0.80000
-0.00000712500,0.00
-0.00000712000,0.00
-0.00000711500,-0.80000
-0.00000711000,0.00
-0.00000710500,-0.80000
-0.00000710000,-0.80000
-0.00000709500,0.00
-0.00000709000,0.00
-0.00000708500,0.80000
-0.00000708000,0.00
-0.00000707500,-2.40000
-0.00000707000,0.00
-0.00000706500,-0.80000
-0.00000706000,-0.80000
-0.00000705500,0.00
-0.00000705000,0.00
-0.00000704500,-0.80000
-0.00000704000,0.80000
-0.00000703500,-0.80000
-0.00000703000,0.00
-0.00000702500,0.00
-0.00000702000,0.00
-0.00000701500,0.00
-0.00000701000,0.80000
-0.00000700500,0.00
-0.00000700000,0.00
-0.00000699500,-0.80000
-0.00000699000,0.80000
-0.00000698500,0.00
-0.00000698000,0.80000
-0.00000697500,0.80000
-0.00000697000,1.60000
-0.00000696500,1.60000
-0.00000696000,4.00000
-0.00000695500,2.40000
-0.00000695000,6.40000
-0.00000694500,6.40000
-0.00000694000,8.00000
-0.00000693500,8.80000
-0.00000693000,11.20000
-0.00000692500,12.00000
-0.00000692000,13.60000
-0.00000691500,14.40000
-0.00000691000,16.80000
-0.00000690500,18.40000
-0.00000690000,20.80000
-0.00000689500,24.00000
-0.00000689000,24.80000
-0.00000688500,27.20000
-0.00000688000,28.80000
-0.00000687500,29.60000
-0.00000687000,31.20000
-0.00000686500,32.00000
-0.00000686000,33.60000
-0.00000685500,35.20000
-0.00000685000,34.40000
-0.00000684500,35.20000
-0.00000684000,36.00000
-0.00000683500,35.20000
-0.00000683000,36.80000
-0.00000682500,36.80000
-0.00000682000,36.80000
-0.00000681500,36.00000
-0.00000681000,34.40000
-0.00000680500,34.40000
-0.00000680000,33.60000
-0.00000679500,31.20000
-0.00000679000,31.20000
-0.00000678500,29.60000
-0.00000678000,28.00000
-0.00000677500,26.40000
-0.00000677000,24.80000
-0.00000676500,22.40000
-0.00000676000,20.80000
-0.00000675500,20.80000
-0.00000675000,17.60000
-0.00000674500,15.20000
-0.00000674000,14.40000
-0.00000673500,11.20000
-0.00000673000,10.40000
-0.00000672500,8.80000
-0.00000672000,6.40000
-0.00000671500,4.80000
-0.00000671000,4.00000
-0.00000670500,2.40000
-0.00000670000,1.60000
-0.00000669500,1.60000
-0.00000669000,0.80000
-0.00000668500,-0.80000
-0.00000668000,0.80000
-0.00000667500,-2.40000
-0.00000667000,1.60000
-0.00000666500,-0.80000
-0.00000666000,-0.80000
-0.00000665500,0.00
-0.00000665000,0.00
-0.00000664500,0.00
-0.00000664000,0.80000
-0.00000663500,-0.80000
-0.00000663000,0.00
-0.00000662500,0.00
